EmployeeID,Name,Age,Department,Salary,Experience,JoiningDate,PerformanceScore
101,Rahul,28,IT,65000,4,2021-06-15,8.5
102,Priya,32,HR,55000,7,2018-03-20,7.8
103,Amit,26,IT,58000,3,2022-01-10,8.2
104,Neha,35,Finance,85000,10,2015-07-12,9.1
105,Rohit,30,IT,72000,6,2019-11-25,8.7
106,Anjali,29,HR,60000,5,2020-08-18,8.0
107,Vikas,40,Finance,95000,15,2010-04-05,9.3
108,Pooja,27,Marketing,52000,3,2022-09-15,7.5
109,Suresh,38,IT,90000,13,2012-02-10,9.0
110,Kiran,31,Marketing,62000,7,2018-12-01,8.1
111,Meena,34,Finance,78000,9,2016-05-22,8.8
112,Arjun,25,IT,50000,2,2023-01-15,7.4
113,Swati,36,HR,68000,10,2015-09-10,8.6
114,Manish,33,Marketing,70000,8,2017-06-20,8.4
115,Ravi,42,Finance,110000,18,2008-03-15,9.5
