EmployeeID,Name,Age,Department,Salary,Experience,JoiningDate,Bonus,TotalCompensation
107,Vikas,29.0,Finance,120000.0,12.0,2014-05-25,12000.0,132000.0
109,Karan,40.0,Finance,110000.0,15.0,2011-04-01,11000.0,121000.0
105,Raj,32.0,IT,95000.0,8.0,2018-11-05,9500.0,104500.0
104,Priya,35.0,Finance,90000.0,10.0,2016-08-12,9000.0,99000.0
106,Sneha,27.0,HR,85000.0,3.0,2023-02-18,8500.0,93500.0
103,Neha,28.0,IT,85000.0,4.0,2022-03-20,8500.0,93500.0
108,Pooja,29.0,IT,80000.0,5.0,2022-09-10,8000.0,88000.0
102,Amit,30.0,HR,75000.0,5.0,2021-06-10,7500.0,82500.0
110,Anita,26.0,HR,65000.0,2.0,2024-07-15,6500.0,71500.0
101,Rahul,25.0,IT,60000.0,2.0,2024-01-15,6000.0,66000.0
